iter	Passed	Remaining
790	9941	2626
791	9955	2614
792	9969	2602
793	9981	2589
794	9995	2577
795	10008	2565
796	10021	2552
797	10035	2540
798	10048	2527
799	10064	2516
800	10076	2503
801	10089	2490
802	10101	2478
803	10114	2465
804	10131	2454
805	10143	2441
806	10157	2429
807	10170	2416
808	10183	2404
809	10196	2391
810	10209	2379
811	10221	2366
812	10234	2354
813	10247	2341
814	10262	2329
815	10274	2316
816	10287	2304
817	10301	2291
818	10313	2279
819	10327	2266
820	10339	2254
821	10352	2241
822	10366	2229
823	10380	2217
824	10392	2204
825	10405	2191
826	10419	2179
827	10432	2167
828	10445	2154
829	10465	2143
830	10480	2131
831	10499	2120
832	10514	2107
833	10530	2095
834	10545	2083
835	10559	2071
836	10577	2059
837	10591	2047
838	10606	2035
839	10620	2022
840	10633	2010
841	10650	1998
842	10664	1986
843	10683	1974
844	10699	1962
845	10711	1949
846	10727	1937
847	10739	1925
848	10751	1912
849	10763	1899
850	10775	1886
851	10787	1873
852	10799	1861
853	10811	1848
854	10824	1835
855	10838	1823
856	10851	1810
857	10864	1798
858	10878	1785
859	10892	1773
860	10904	1760
861	10918	1747
862	10933	1735
863	10948	1723
864	10961	1710
865	10973	1698
866	10985	1685
867	10997	1672
868	11023	1661
869	11036	1649
870	11050	1636
871	11062	1623
872	11074	1611
873	11087	1598
874	11099	1585
875	11111	1572
876	11123	1560
877	11135	1547
878	11151	1535
879	11163	1522
880	11175	1509
881	11186	1496
882	11199	1483
883	11212	1471
884	11224	1458
885	11236	1445
886	11249	1433
887	11262	1420
888	11273	1407
889	11288	1395
890	11302	1382
891	11316	1370
892	11328	1357
893	11341	1344
894	11354	1332
895	11366	1319
896	11378	1306
897	11390	1293
898	11403	1281
899	11414	1268
900	11427	1255
901	11441	1243
902	11456	1230
903	11470	1218
904	11483	1205
905	11496	1192
906	11508	1180
907	11520	1167
908	11532	1154
909	11543	1141
910	11555	1128
911	11568	1116
912	11580	1103
913	11592	1090
914	11604	1078
915	11617	1065
916	11630	1052
917	11646	1040
918	11657	1027
919	11671	1014
920	11684	1002
921	11696	989
922	11708	976
923	11720	964
924	11733	951
925	11748	938
926	11761	926
927	11774	913
928	11786	900
929	11798	888
930	11810	875
931	11821	862
932	11833	849
933	11844	837
934	11856	824
935	11868	811
936	11880	798
937	11892	786
938	11904	773
939	11916	760
940	11928	747
941	11940	735
942	11952	722
943	11965	709
944	11976	697
945	11988	684
946	11999	671
947	12012	658
948	12024	646
949	12035	633
950	12048	620
951	12060	608
952	12071	595
953	12084	582
954	12098	570
955	12110	557
956	12123	544
957	12134	532
958	12146	519
959	12158	506
960	12171	493
961	12182	481
962	12194	468
963	12205	455
964	12218	443
965	12229	430
966	12241	417
967	12252	405
968	12264	392
969	12276	379
970	12288	367
971	12300	354
972	12311	341
973	12323	328
974	12335	316
975	12357	303
976	12370	291
977	12382	278
978	12395	265
979	12408	253
980	12420	240
981	12431	227
982	12443	215
983	12456	202
984	12468	189
985	12481	177
986	12493	164
987	12505	151
988	12517	139
989	12528	126
990	12540	113
991	12552	101
992	12564	88
993	12575	75
994	12588	63
995	12599	50
996	12611	37
997	12624	25
998	12636	12
999	12649	0
